"geoip.country_name.keyword: Descending","Timestamp per 12 hours",Attacks
"United States","2025-04-01 00:00","1,768"
"United States","2025-04-01 12:00","16,973"
"United States","2025-04-02 00:00","13,763"
"United States","2025-04-02 12:00","8,339"
"United States","2025-04-03 00:00","6,687"
"United States","2025-04-03 12:00","6,546"
"United States","2025-04-04 00:00","7,600"
"United States","2025-04-04 12:00","7,329"
"United States","2025-04-05 00:00","5,204"
"United States","2025-04-05 12:00","4,051"
"United States","2025-04-06 00:00","5,683"
"United States","2025-04-06 12:00","6,786"
"United States","2025-04-07 00:00","3,674"
"United States","2025-04-07 12:00","4,842"
"United States","2025-04-08 00:00","4,641"
"United States","2025-04-08 12:00","5,291"
"United States","2025-04-09 00:00","5,069"
"United States","2025-04-09 12:00","6,092"
"United States","2025-04-10 00:00","6,328"
"United States","2025-04-10 12:00","4,815"
"United States","2025-04-11 00:00","4,300"
"United States","2025-04-11 12:00","5,310"
"United States","2025-04-12 00:00","5,895"
"United States","2025-04-12 12:00","5,480"
"United States","2025-04-13 00:00","5,329"
"United States","2025-04-13 12:00","5,194"
China,"2025-04-01 00:00",738
China,"2025-04-01 12:00","1,568"
China,"2025-04-02 00:00","4,651"
China,"2025-04-02 12:00","1,511"
China,"2025-04-03 00:00","2,388"
China,"2025-04-03 12:00","5,215"
China,"2025-04-04 00:00","2,127"
China,"2025-04-04 12:00","3,264"
China,"2025-04-05 00:00","2,516"
China,"2025-04-05 12:00","1,905"
China,"2025-04-06 00:00","1,934"
China,"2025-04-06 12:00","7,872"
China,"2025-04-07 00:00","4,575"
China,"2025-04-07 12:00","4,177"
China,"2025-04-08 00:00","6,605"
China,"2025-04-08 12:00","7,107"
China,"2025-04-09 00:00","3,755"
China,"2025-04-09 12:00","5,745"
China,"2025-04-10 00:00","5,094"
China,"2025-04-10 12:00","7,070"
China,"2025-04-11 00:00","5,779"
China,"2025-04-11 12:00","4,904"
China,"2025-04-12 00:00","8,692"
China,"2025-04-12 12:00","5,381"
China,"2025-04-13 00:00","4,697"
China,"2025-04-13 12:00","6,989"
Canada,"2025-04-01 00:00",111
Canada,"2025-04-01 12:00",272
Canada,"2025-04-02 00:00",227
Canada,"2025-04-02 12:00",546
Canada,"2025-04-03 00:00","75,141"
Canada,"2025-04-03 12:00",201
Canada,"2025-04-04 00:00",177
Canada,"2025-04-04 12:00",543
Canada,"2025-04-05 00:00","1,005"
Canada,"2025-04-05 12:00",294
Canada,"2025-04-06 00:00",259
Canada,"2025-04-06 12:00",209
Canada,"2025-04-07 00:00",246
Canada,"2025-04-07 12:00",570
Canada,"2025-04-08 00:00",200
Canada,"2025-04-08 12:00",239
Canada,"2025-04-09 00:00",251
Canada,"2025-04-09 12:00",381
Canada,"2025-04-10 00:00",249
Canada,"2025-04-10 12:00",422
Canada,"2025-04-11 00:00",237
Canada,"2025-04-11 12:00",580
Canada,"2025-04-12 00:00",262
Canada,"2025-04-12 12:00",268
Canada,"2025-04-13 00:00",339
Canada,"2025-04-13 12:00",628
Belgium,"2025-04-01 00:00",6
Belgium,"2025-04-01 12:00",9
Belgium,"2025-04-02 00:00",268
Belgium,"2025-04-02 12:00",9
Belgium,"2025-04-03 00:00",26
Belgium,"2025-04-03 12:00",62
Belgium,"2025-04-04 00:00",60
Belgium,"2025-04-04 12:00",57
Belgium,"2025-04-05 00:00",232
Belgium,"2025-04-05 12:00",53
Belgium,"2025-04-06 00:00",181
Belgium,"2025-04-06 12:00",14
Belgium,"2025-04-07 00:00",6
Belgium,"2025-04-07 12:00",215
Belgium,"2025-04-08 00:00",9
Belgium,"2025-04-08 12:00",123
Belgium,"2025-04-09 00:00",216
Belgium,"2025-04-09 12:00",181
Belgium,"2025-04-10 00:00",219
Belgium,"2025-04-10 12:00",70
Belgium,"2025-04-11 00:00",121
Belgium,"2025-04-11 12:00",32
Belgium,"2025-04-12 00:00","46,457"
Belgium,"2025-04-12 12:00",61
Belgium,"2025-04-13 00:00",252
Belgium,"2025-04-13 12:00",8
"The Netherlands","2025-04-01 00:00",315
"The Netherlands","2025-04-01 12:00",671
"The Netherlands","2025-04-02 00:00","3,311"
"The Netherlands","2025-04-02 12:00","3,295"
"The Netherlands","2025-04-03 00:00",308
"The Netherlands","2025-04-03 12:00",758
"The Netherlands","2025-04-04 00:00",607
"The Netherlands","2025-04-04 12:00",908
"The Netherlands","2025-04-05 00:00",998
"The Netherlands","2025-04-05 12:00",477
"The Netherlands","2025-04-06 00:00",542
"The Netherlands","2025-04-06 12:00","2,145"
"The Netherlands","2025-04-07 00:00",368
"The Netherlands","2025-04-07 12:00",320
"The Netherlands","2025-04-08 00:00",540
"The Netherlands","2025-04-08 12:00",474
"The Netherlands","2025-04-09 00:00","4,792"
"The Netherlands","2025-04-09 12:00","2,876"
"The Netherlands","2025-04-10 00:00","14,261"
"The Netherlands","2025-04-10 12:00",532
"The Netherlands","2025-04-11 00:00",600
"The Netherlands","2025-04-11 12:00",610
"The Netherlands","2025-04-12 00:00",588
"The Netherlands","2025-04-12 12:00","1,435"
"The Netherlands","2025-04-13 00:00","2,315"
"The Netherlands","2025-04-13 12:00",611
