"Top 5 values of DestPort","Timestamp per 12 hours",Attacks
445,"2025-04-01 00:00",398
445,"2025-04-01 12:00","1,163"
445,"2025-04-02 00:00","10,547"
445,"2025-04-02 12:00","3,751"
445,"2025-04-03 00:00","8,713"
445,"2025-04-03 12:00","7,482"
445,"2025-04-04 00:00","4,541"
445,"2025-04-04 12:00","4,285"
445,"2025-04-05 00:00","1,254"
445,"2025-04-05 12:00","4,354"
445,"2025-04-06 00:00","1,185"
445,"2025-04-06 12:00","1,059"
445,"2025-04-07 00:00","1,339"
445,"2025-04-07 12:00","1,148"
445,"2025-04-08 00:00","3,105"
445,"2025-04-08 12:00","1,217"
445,"2025-04-09 00:00","4,670"
445,"2025-04-09 12:00","5,694"
445,"2025-04-10 00:00","7,964"
445,"2025-04-10 12:00","7,484"
445,"2025-04-11 00:00","1,328"
445,"2025-04-11 12:00","1,049"
445,"2025-04-12 00:00","4,118"
445,"2025-04-12 12:00","1,111"
445,"2025-04-13 00:00",821
445,"2025-04-13 12:00","1,109"
22,"2025-04-01 00:00",633
22,"2025-04-01 12:00","1,434"
22,"2025-04-02 00:00","4,302"
22,"2025-04-02 12:00","2,942"
22,"2025-04-03 00:00","17,469"
22,"2025-04-03 12:00","2,063"
22,"2025-04-04 00:00","2,126"
22,"2025-04-04 12:00","3,456"
22,"2025-04-05 00:00","1,681"
22,"2025-04-05 12:00","2,002"
22,"2025-04-06 00:00","2,131"
22,"2025-04-06 12:00","3,698"
22,"2025-04-07 00:00","1,947"
22,"2025-04-07 12:00","2,201"
22,"2025-04-08 00:00","2,399"
22,"2025-04-08 12:00","2,755"
22,"2025-04-09 00:00","2,829"
22,"2025-04-09 12:00","2,823"
22,"2025-04-10 00:00","2,611"
22,"2025-04-10 12:00","3,030"
22,"2025-04-11 00:00","2,141"
22,"2025-04-11 12:00","2,067"
22,"2025-04-12 00:00","2,455"
22,"2025-04-12 12:00","2,516"
22,"2025-04-13 00:00","2,541"
22,"2025-04-13 12:00","2,767"
1080,"2025-04-02 12:00",352
1080,"2025-04-03 00:00",310
1080,"2025-04-03 12:00",741
1080,"2025-04-04 00:00",329
1080,"2025-04-04 12:00",542
1080,"2025-04-05 00:00",565
1080,"2025-04-05 12:00",555
1080,"2025-04-06 00:00",571
1080,"2025-04-06 12:00",595
1080,"2025-04-07 00:00",568
1080,"2025-04-07 12:00",596
1080,"2025-04-08 00:00",595
1080,"2025-04-08 12:00",611
1080,"2025-04-09 00:00",614
1080,"2025-04-09 12:00",590
1080,"2025-04-10 00:00","2,327"
1080,"2025-04-10 12:00","5,329"
1080,"2025-04-11 00:00","4,278"
1080,"2025-04-11 12:00","1,041"
1080,"2025-04-12 00:00","1,365"
1080,"2025-04-12 12:00","1,028"
1080,"2025-04-13 00:00","7,972"
1080,"2025-04-13 12:00",822
5060,"2025-04-01 00:00",10
5060,"2025-04-01 12:00","1,359"
5060,"2025-04-02 00:00","2,412"
5060,"2025-04-02 12:00","2,630"
5060,"2025-04-03 00:00",505
5060,"2025-04-03 12:00",140
5060,"2025-04-04 00:00",204
5060,"2025-04-04 12:00",50
5060,"2025-04-05 00:00",10
5060,"2025-04-05 12:00",88
5060,"2025-04-06 00:00",299
5060,"2025-04-06 12:00",192
5060,"2025-04-07 00:00",830
5060,"2025-04-07 12:00","1,219"
5060,"2025-04-08 00:00",24
5060,"2025-04-08 12:00",59
5060,"2025-04-09 00:00",63
5060,"2025-04-09 12:00",80
5060,"2025-04-10 00:00",81
5060,"2025-04-10 12:00",84
5060,"2025-04-11 00:00",88
5060,"2025-04-11 12:00",529
5060,"2025-04-12 00:00","2,321"
5060,"2025-04-12 12:00","2,270"
5060,"2025-04-13 00:00","2,354"
5060,"2025-04-13 12:00","1,490"
80,"2025-04-01 00:00",15
80,"2025-04-01 12:00",250
80,"2025-04-02 00:00",134
80,"2025-04-02 12:00",513
80,"2025-04-03 00:00",141
80,"2025-04-03 12:00",286
80,"2025-04-04 00:00",220
80,"2025-04-04 12:00",548
80,"2025-04-05 00:00",571
80,"2025-04-05 12:00",296
80,"2025-04-06 00:00",526
80,"2025-04-06 12:00",270
80,"2025-04-07 00:00",120
80,"2025-04-07 12:00",99
80,"2025-04-08 00:00",317
80,"2025-04-08 12:00",288
80,"2025-04-09 00:00",199
80,"2025-04-09 12:00",448
80,"2025-04-10 00:00",489
80,"2025-04-10 12:00",699
80,"2025-04-11 00:00",454
80,"2025-04-11 12:00",284
80,"2025-04-12 00:00",223
80,"2025-04-12 12:00",259
80,"2025-04-13 00:00",397
80,"2025-04-13 12:00","2,935"
